"year","carrier_name","arrivals","delayed","cancelled","diverted","on_time"
2003,"American Airlines Inc.",434707,81756,6420,1052,0.81192849436517
2003,"American Eagle Airlines Inc.",252913,49259,7329,312,0.80523342018797
2003,"Delta Air Lines Inc.",332400,61507,2909,557,0.814960890493381
2003,"SkyWest Airlines Inc.",240401,26497,3628,266,0.889779992595705
2003,"Southwest Airlines Co.",562675,73653,5250,1045,0.869102057137779
2003,"United Air Lines Inc.",320081,55572,2980,558,0.826381447196178
2004,"American Airlines Inc.",698548,148150,12402,1644,0.787917222581698
2004,"American Eagle Airlines Inc.",483088,111025,17787,844,0.770176448183354
2004,"Delta Air Lines Inc.",687638,151942,10717,1197,0.779037807683694
2004,"SkyWest Airlines Inc.",463448,69597,9784,798,0.849827812397507
2004,"Southwest Airlines Co.",990404,185595,10103,1781,0.812606774609149
2004,"United Air Lines Inc.",555812,105032,6548,1000,0.811029628723381
2005,"American Airlines Inc.",614614,129941,8608,1462,0.788581125714676
2005,"American Eagle Airlines Inc.",532032,108852,16746,951,0.795403284012992
2005,"Delta Air Lines Inc.",658302,137098,17731,1282,0.79173996129436
2005,"SkyWest Airlines Inc.",430090,67377,8446,678,0.843342091190216
2005,"Southwest Airlines Co.",1036034,189099,8759,1638,0.817477997826326
2005,"United Air Lines Inc.",485918,101429,6296,878,0.791263134932231
2006,"American Airlines Inc.",643597,145563,10127,1701,0.773828964398529
2006,"American Eagle Airlines Inc.",550088,135620,19990,1297,0.753457628597606
2006,"Delta Air Lines Inc.",424119,85919,6219,966,0.797417705879718
2006,"SkyWest Airlines Inc.",548109,113760,12844,640,0.792450041871234
2006,"Southwest Airlines Co.",1099321,206597,8951,1753,0.812068540489993
2006,"United Air Lines Inc.",500008,119391,10238,1088,0.761221820450873
2007,"American Airlines Inc.",633857,178129,17924,2097,0.718976046647746
2007,"American Eagle Airlines Inc.",540494,142567,22792,1497,0.73622833926001
2007,"Delta Air Lines Inc.",475889,102404,6521,1045,0.7848153666086
2007,"SkyWest Airlines Inc.",597880,130405,14186,823,0.781887669766508
2007,"Southwest Airlines Co.",1168871,220441,9993,1920,0.811406904611373
2007,"United Air Lines Inc.",490002,132461,11929,983,0.729672531948849
2008,"American Airlines Inc.",498449,132616,15113,1610,0.733942690225078
2008,"American Eagle Airlines Inc.",408602,95971,16171,1002,0.765123518729717
2008,"Delta Air Lines Inc.",415627,93661,6395,1132,0.774651309948584
2008,"SkyWest Airlines Inc.",237003,41438,3839,555,0.825158331329139
